,Day,DF,Loc,Scale,RateLim,RateMark,RateCanc
0,1,2.8860841820820995,-22.398827311893022,27.76020254677156,0.15524691358024692,0.0175,0.005216461832920709
1,4,3.2579790308419616,-48.10606974494927,53.02970961384828,0.22570987654320987,0.023240740740740742,0.018032719009795167
2,5,1.7937893905765372,-37.764959377021995,48.976928513441344,0.18070987654320989,0.01904320987654321,0.017722509189625174
3,6,1.1695291980556446,-33.586749245505956,78.01558557282068,0.18947530864197532,0.023364197530864196,0.01317140345742277
4,7,0.6618234406310375,-10.592965211731457,41.7564360447483,0.19898148148148148,0.02228395061728395,0.016575929033043457
5,8,0.8000903685219012,-18.363530173078445,50.091534146766605,0.10429012345679012,0.013765432098765433,0.0068956288723465075
6,11,1.4534225462733885,-38.201012758240054,58.38714966765009,0.05774691358024692,0.007253086419753086,0.0032980810179753174
7,12,1.4349056225133832,-13.775240987880132,25.58542348622695,0.052037037037037034,0.007962962962962963,0.002170954921211903
8,13,1.035545225016893,-13.64245375161116,28.623624234630235,0.0730246913580247,0.00787037037037037,0.0044109255468107265
9,14,1.47819119508969,-39.564573399195886,51.80832488965646,0.10141975308641975,0.01132716049382716,0.022802335811951815
10,15,66204.9681025566,-163.49743227191698,166.43866176603942,0.10373456790123457,0.009691358024691357,0.007449060445448439
11,18,1.1055022615138115,-43.43814132895025,82.41526399251563,0.08932098765432099,0.010617283950617284,0.016527952178622504
12,19,0.5907464957180516,-6.682268767276599,18.015960707674363,0.09314814814814815,0.010061728395061729,0.005838975350821279
13,20,1.3856422132065385,-35.55904189006043,46.22082198455726,0.05117283950617284,0.007067901234567901,0.0077751596809651725
14,21,2.1980429963267882,-30.130986156032037,38.477122587536996,0.05299382716049383,0.0077777777777777776,0.0026336556085685106
15,22,1.8540895177700882,-45.1598231541367,53.18850699536068,0.04688271604938272,0.004876543209876543,0.0025683368879178803
16,25,6.530095562276378,-51.74073988304969,39.40552687360284,0.0665432098765432,0.003425925925925926,0.002926999117719793
17,26,0.7985497903333008,-17.472801072824893,25.536134342918984,0.05515432098765432,0.0032098765432098763,0.005450374602709511
18,28,4.358069565236178,-23.352780079995373,32.95097963744249,0.08851851851851852,0.009969135802469135,0.00405609767276283
19,29,1.9520572826738523,-31.429434356191678,40.25624188225193,0.08225308641975308,0.010617283950617284,0.003605630852803266
