,Date,DF type,Lambda,Mu,Delta,MeanSpread,Volatility,SimSpread,SimVolatility
0,1/10,best_matching.csv,0.010259413132105334,0.08118596478731109,0.15212108298373975,38.0429172510519,7.261730093948644,44.0699075,0.7354816295007431
1,4/10,best_matching.csv,0.009362408347810275,0.10426935007873346,0.15134796181403712,47.15006483555346,9.832316481465025,52.6801,0.9422033853516174
2,5/10,best_matching.csv,0.006360428061866755,0.14453566249626226,0.16386298935544735,71.28600777753319,9.05763453240254,91.8840225,2.1121128112748426
3,6/10,best_matching.csv,0.0031826280633049466,0.08918221472413065,0.17069592479152415,151.2275723703067,26.366326254479393,160.4781625,5.037544324086096
4,7/10,best_matching.csv,0.003969578140890735,0.13766939718856464,0.13032031330526836,126.51283388377078,12.75029909051825,121.99197,3.1736232534299638
5,8/10,best_matching.csv,0.004596311528374582,0.09959784491452646,0.14332836417611206,93.74254495788753,12.014150497636187,100.6254775,2.4608182356821833
6,11/10,best_matching.csv,0.006428808006240814,0.11528408691241748,0.1739579226328361,71.08870281010502,6.142190827531891,83.5005525,2.0005989743051056
7,12/10,best_matching.csv,0.01055321745031512,0.10589991245568967,0.14147909513315304,44.29276269017489,3.8723407330874897,44.83943,0.7068300708245742
8,13/10,best_matching.csv,0.011047676033748238,0.08421901855554385,0.14785122552863844,46.91454208802165,4.6647431933418435,41.695315,0.6681578152556215
9,14/10,best_matching.csv,0.008423761012744143,0.09695911756336338,0.1630743182745876,54.766883886255904,6.511476677966218,61.2121075,1.2162871056563118
10,15/10,best_matching.csv,0.007296683136322889,0.09149420353263936,0.16444122608088596,63.129774072081766,7.353800329568051,67.8126525,1.4303894102777266
11,18/10,best_matching.csv,0.00454115699409519,0.07764888553844077,0.16372958229532614,94.79870387514879,13.643395062666002,108.3399025,2.7489922275982646
12,19/10,best_matching.csv,0.006232868283142557,0.08632390978675593,0.15572397630842463,71.42106638787246,7.6210078608790095,80.7359725,1.6960580227492341
13,20/10,best_matching.csv,0.007511501078862265,0.08659445859286306,0.17951552607454307,52.202386751095965,6.0725315531554225,72.65231,1.5441191941557537
14,21/10,best_matching.csv,0.008572327963214877,0.08878042459846008,0.1695564375670648,48.62171398527865,12.405543725272278,61.6754575,1.1968008735085496
15,22/10,best_matching.csv,0.006415721726089783,0.08591779045380399,0.23106059897494477,51.922166321396865,7.327349676790922,102.3663875,2.662761297177108
16,25/10,best_matching.csv,0.009394867826771788,0.07398104466828169,0.18350584199275058,36.204312865497066,3.045570239017583,57.2340625,1.0922293062412047
17,26/10,best_matching.csv,0.00815118109794652,0.07573854630055735,0.13976998380898054,44.240255591054314,3.365641960035702,52.9486525,0.9556485536850853
18,28/10,best_matching.csv,0.011173082137706458,0.07978888609082514,0.17574608554074964,37.21204224386231,6.80467240427432,45.310435,0.7645191863020611
19,29/10,best_matching.csv,0.009239677021793201,0.10186400462634865,0.15374536005915376,43.61042793900639,5.535870979126968,54.1583575,0.9689365160292651
20,1/10,tempo.csv,0.009890046643163453,0.0882614149293634,0.15273071927133872,38.0429172510519,7.261730093948644,49.0581925,0.8136413706484572
21,4/10,tempo.csv,0.008925888736628045,0.1523454048594461,0.1571521621728056,47.15006483555346,9.832316481465025,64.202965,1.2153186074023115
22,5/10,tempo.csv,0.00606221345014872,0.17779307727817784,0.16673016600137294,71.28600777753319,9.05763453240254,103.5879575,2.501517293358557
23,6/10,tempo.csv,0.0030955138750188953,0.10907346970133418,0.16728506935652354,151.2275723703067,26.366326254479393,178.26285,5.7331146353015265
24,7/10,tempo.csv,0.003819205251208987,0.16281329155314028,0.1313990122594241,126.51283388377078,12.75029909051825,140.0404325,3.7948694480291834
25,8/10,tempo.csv,0.004463350895633572,0.1071452946580916,0.148102328108128,93.74254495788753,12.014150497636187,108.66296,2.7307597189466537
26,11/10,tempo.csv,0.006272920324227215,0.11875978737354308,0.18078570823516305,71.08870281010502,6.142190827531891,97.75396,2.366736202790804
27,12/10,tempo.csv,0.010283291921470428,0.11962297924707725,0.13984758242101336,44.29276269017489,3.8723407330874897,47.389275,0.7912831764435936
28,13/10,tempo.csv,0.010854638683696185,0.09134458731232925,0.14816076125867766,46.91454208802165,4.6647431933418435,42.020455,0.662137992465923
29,14/10,tempo.csv,0.008253547441119478,0.15136007322725456,0.16183113806715546,54.766883886255904,6.511476677966218,72.883025,1.4476410515599285
30,15/10,tempo.csv,0.007070564231025636,0.10149106878594684,0.16788538759000488,63.129774072081766,7.353800329568051,76.659845,1.6747231522684851
31,18/10,tempo.csv,0.0044150785994005156,0.0818307717551824,0.16536261754033132,94.79870387514879,13.643395062666002,113.480095,2.968800500107918
32,19/10,tempo.csv,0.006085836518514578,0.08893650453539034,0.16073457571546335,71.42106638787246,7.6210078608790095,83.51836,1.8719089548126633
33,20/10,tempo.csv,0.007284284854056822,0.10328318594603601,0.17710416206642432,52.202386751095965,6.0725315531554225,77.9005775,1.6758613893393721
