,Date,DF type,Lambda,Mu,Delta,MeanSpread,Volatility,SimSpread,SimVolatility
0,1/10,tempo.csv,0.005143655159076945,0.08201474422368067,0.1507399577167019,38.0429172510519,0.0005495917962980548,91.13357,0.0005700988763531556
1,4/10,tempo.csv,0.004628889379226993,0.15063374493843518,0.1499253261640256,47.15006483555346,0.0006941882899169536,117.98138,0.0006248629712432515
2,5/10,tempo.csv,0.003130385748745045,0.14704818384334153,0.16331620382721526,71.28600777753319,0.0005835581507425148,189.8724825,0.0015037270399262948
3,6/10,tempo.csv,0.001589173287702338,0.11028308505667368,0.16424930895179138,151.2275723703067,0.0017515062199032442,325.6687275,0.005478479551271556
4,7/10,tempo.csv,0.0019462044348797585,0.16663252141022084,0.12795795190915643,126.51283388377078,0.0010036489581852542,261.6813675,0.002149548380647479
5,8/10,tempo.csv,0.002319598050949349,0.11470238507993344,0.14420523985031794,93.74254495788753,0.0009645043313751549,211.4129775,0.002317286954507227
6,11/10,tempo.csv,0.003288682504271025,0.12156767345219659,0.1666226613586367,71.08870281010502,0.0005037612731891741,167.79402,0.0012982579685675707
7,12/10,tempo.csv,0.005225047334011422,0.1143526717943528,0.1389110943319548,44.29276269017489,0.00032069754309731966,93.834725,0.0005159015066219023
8,13/10,tempo.csv,0.005453865623614766,0.10078647582996957,0.1455722742410517,46.91454208802165,0.0003757446859979946,88.1369925,0.0009820812213566614
9,14/10,tempo.csv,0.004259994779014515,0.07900925145239718,0.1590264695883707,54.766883886255904,0.000496678844683294,113.63107,0.0014872952782331481
10,15/10,tempo.csv,0.0036281012672804425,0.10569055129779395,0.16367988125425195,63.129774072081766,0.0005613941151624161,145.758075,0.0009847475183953555
11,18/10,tempo.csv,0.002271243994554267,0.08190002553681412,0.16425593975873923,94.79870387514879,0.0010562427018512622,216.1856375,0.0028308910671091965
12,19/10,tempo.csv,0.003132035829580891,0.08706725817951359,0.15806731428378681,71.42106638787246,0.0006158089733989082,153.5219175,0.000940453990304135
13,20/10,tempo.csv,0.003856472152078746,0.10848499484094751,0.17103210217723103,52.202386751095965,0.0004838463032950954,139.8675075,0.001563853121216313
14,21/10,tempo.csv,0.004195343333091208,0.15125192254334074,0.16598073792029108,48.62171398527865,0.0010344259192809218,136.554355,0.0008164195483809101
15,22/10,tempo.csv,0.003252315654550291,0.14942335818927277,0.22389387927095544,51.922166321396865,0.0005995663658723559,221.526125,0.002040101835834997
16,25/10,tempo.csv,0.004606328067469745,0.10539470594155735,0.18444552148010107,36.204312865497066,0.0002466177018520499,123.722675,0.0006632781246298179
17,26/10,tempo.csv,0.004098888264379868,0.12354621505815139,0.13774969257141353,44.240255591054314,0.0002713367020121045,119.3109275,0.0007338409281935821
18,28/10,tempo.csv,0.0055106334635585735,0.11791734892632393,0.17641455923115618,37.21204224386231,0.0005955275282969811,104.873005,0.0007206540650253911
19,29/10,tempo.csv,0.004516354428565457,0.15229723412852467,0.1562108642556165,43.61042793900639,0.0005042325814823393,128.18374,0.0006660424135628177
20,1/10,tempo_prezzo.csv,0.005509051427208094,0.06291976601429913,0.15609410922030062,38.0429172510519,0.0005495917962980548,84.9901425,0.0005111529903405459
21,4/10,tempo_prezzo.csv,0.005073834623684679,0.07488036877237539,0.15656049603102404,47.15006483555346,0.0006941882899169536,91.9445625,0.0007490371490737707
22,5/10,tempo_prezzo.csv,0.0034146391673092504,0.07586015962118609,0.17371940619166276,71.28600777753319,0.0005835581507425148,148.1157825,0.0009837400354186763
23,6/10,tempo_prezzo.csv,0.0016961974083795186,0.06635853107319324,0.17326412887915313,151.2275723703067,0.0017515062199032442,288.70385,0.006370527451439893
24,7/10,tempo_prezzo.csv,0.00211348974658303,0.09297141145286537,0.13516214725317657,126.51283388377078,0.0010036489581852542,206.9327825,0.0023370340578596294
25,8/10,tempo_prezzo.csv,0.0024841348726966895,0.07684177215189875,0.14928639159046603,93.74254495788753,0.0009645043313751549,184.982335,0.003047164529263912
26,11/10,tempo_prezzo.csv,0.0034823378357528097,0.09388943035042494,0.17563595547146074,71.08870281010502,0.0005037612731891741,150.4838775,0.0014492018515029612
27,12/10,tempo_prezzo.csv,0.005479705863780473,0.08882127088242162,0.14882554959358332,44.29276269017489,0.00032069754309731966,82.8228475,0.0004881814722012302
28,13/10,tempo_prezzo.csv,0.005631873737718859,0.07215938386182005,0.15331298112950473,46.91454208802165,0.0003757446859979946,79.5129675,0.0004918783295340423
29,14/10,tempo_prezzo.csv,0.004442291852891263,0.058674526321585145,0.16497168233266254,54.766883886255904,0.000496678844683294,103.99522,0.0008424958787134853
30,15/10,tempo_prezzo.csv,0.003839357796767658,0.07182914192897949,0.17055603980425113,63.129774072081766,0.0005613941151624161,135.3766625,0.0008193701225645377
31,18/10,tempo_prezzo.csv,0.002373033007269172,0.061093805962859654,0.16956814025398295,94.79870387514879,0.0010562427018512622,201.77208,0.0013493834089139214
32,19/10,tempo_prezzo.csv,0.003271873900508924,0.06457566102536516,0.15999038304347366,71.42106638787246,0.0006158089733989082,144.3030125,0.0011099673751126093
33,20/10,tempo_prezzo.csv,0.004096119083135264,0.07747983024763325,0.17895701392708363,52.202386751095965,0.0004838463032950954,134.6648375,0.0014625578891267945
34,21/10,tempo_prezzo.csv,0.004470811159490404,0.09523168533686203,0.1598305082587754,48.62171398527865,0.0010344259192809218,116.8624925,0.001080059264841413
35,22/10,tempo_prezzo.csv,0.003528269710087892,0.05886851346078814,0.24068950727375882,51.922166321396865,0.0005995663658723559,181.1547825,0.004739277147104026
