DateTime,Seconds,Sign,MidPrice
2021-10-01 08:04:06+00:00,29046.0,-1.0,130.2
2021-10-01 08:04:06+00:00,29046.0,-1.0,130.2
2021-10-01 08:04:36+00:00,29076.0,-1.0,130.05
2021-10-01 08:04:37+00:00,29077.0,-1.0,130.05
2021-10-01 08:04:40+00:00,29080.0,-1.0,130.15
2021-10-01 08:04:51+00:00,29091.0,-1.0,130.305
2021-10-01 08:05:00+00:00,29100.0,-1.0,130.325
2021-10-01 08:05:23.959000+00:00,29123.959,-1.0,130.27499999999998
2021-10-01 08:05:27+00:00,29127.0,-1.0,130.15
2021-10-01 08:06:47.787000+00:00,29207.787,1.0,129.925
2021-10-01 08:07:50.777000+00:00,29270.777,1.0,130.0
2021-10-01 08:07:54.051000+00:00,29274.051,1.0,129.925
2021-10-01 08:07:54.051000+00:00,29274.051,1.0,129.925
2021-10-01 08:07:54.051000+00:00,29274.051,1.0,129.925
2021-10-01 08:07:54.051000+00:00,29274.051,1.0,129.925
2021-10-01 08:08:06.103000+00:00,29286.103,-1.0,130.03
2021-10-01 08:09:01+00:00,29341.0,-1.0,130.1
2021-10-01 08:10:43.235000+00:00,29443.235,-1.0,130.0
2021-10-01 08:10:43.235000+00:00,29443.235,-1.0,130.0
2021-10-01 08:11:14.190000+00:00,29474.19,1.0,129.875
2021-10-01 08:11:14+00:00,29474.0,1.0,129.875
2021-10-01 08:11:19+00:00,29479.0,1.0,129.875
2021-10-01 08:11:55.870000+00:00,29515.87,-1.0,129.95
2021-10-01 08:11:55+00:00,29515.0,-1.0,129.95
2021-10-01 08:11:55+00:00,29515.0,-1.0,129.95
2021-10-01 08:12:10.337000+00:00,29530.337,1.0,129.825
2021-10-01 08:12:58.812000+00:00,29578.812,1.0,129.95
2021-10-01 08:14:10+00:00,29650.0,1.0,129.975
2021-10-01 08:14:13+00:00,29653.0,1.0,129.975
2021-10-01 08:14:15+00:00,29655.0,1.0,129.975
2021-10-01 08:14:42.391000+00:00,29682.391,-1.0,130.1
2021-10-01 08:15:00+00:00,29700.0,1.0,129.95
2021-10-01 08:15:01.782000+00:00,29701.782,1.0,129.95
2021-10-01 08:15:34.695000+00:00,29734.695,1.0,130.1
2021-10-01 08:15:34.695000+00:00,29734.695,1.0,130.1
2021-10-01 08:18:30+00:00,29910.0,-1.0,130.125
2021-10-01 08:18:58.622000+00:00,29938.622,1.0,130.125
2021-10-01 08:19:04+00:00,29944.0,1.0,130.15
2021-10-01 08:19:57.532000+00:00,29997.532,1.0,130.375
2021-10-01 08:19:58+00:00,29998.0,1.0,130.375
2021-10-01 08:20:01.390000+00:00,30001.39,1.0,130.375
2021-10-01 08:21:36+00:00,30096.0,1.0,130.35
2021-10-01 08:24:01+00:00,30241.0,1.0,130.35
2021-10-01 08:25:23+00:00,30323.0,1.0,130.35
2021-10-01 08:28:40+00:00,30520.0,1.0,130.55
2021-10-01 08:29:23+00:00,30563.0,1.0,130.645
2021-10-01 08:29:23+00:00,30563.0,1.0,130.645
2021-10-01 08:29:38+00:00,30578.0,1.0,130.65
2021-10-01 08:29:48+00:00,30588.0,1.0,130.60000000000002
2021-10-01 08:30:08+00:00,30608.0,1.0,130.77499999999998
2021-10-01 08:30:15+00:00,30615.0,1.0,130.77499999999998
2021-10-01 08:35:54.971000+00:00,30954.971,1.0,130.75
2021-10-01 08:36:01.739000+00:00,30961.739,1.0,130.775
2021-10-01 08:36:03.276000+00:00,30963.276,1.0,130.775
2021-10-01 08:40:04+00:00,31204.0,-1.0,131.085
2021-10-01 08:40:11+00:00,31211.0,-1.0,131.085
2021-10-01 08:41:16+00:00,31276.0,-1.0,131.06
2021-10-01 08:41:28.297000+00:00,31288.297,1.0,130.985
2021-10-01 08:47:35.841000+00:00,31655.841,-1.0,131.1
2021-10-01 08:47:37.384000+00:00,31657.384,-1.0,131.1
2021-10-01 08:47:40.676000+00:00,31660.676,-1.0,131.1
2021-10-01 08:49:39+00:00,31779.0,1.0,131.125
2021-10-01 08:49:43+00:00,31783.0,1.0,131.15
2021-10-01 08:49:49+00:00,31789.0,-1.0,131.45
2021-10-01 08:52:51.130000+00:00,31971.13,1.0,131.4
2021-10-01 08:55:22.535000+00:00,32122.535,1.0,131.4
2021-10-01 08:55:47.285000+00:00,32147.285,1.0,131.4
2021-10-01 08:56:03.659000+00:00,32163.659,1.0,131.45
2021-10-01 08:57:03+00:00,32223.0,-1.0,131.5
2021-10-01 08:57:12+00:00,32232.0,1.0,131.4
2021-10-01 08:58:57+00:00,32337.0,1.0,131.44
2021-10-01 09:01:07+00:00,32467.0,-1.0,131.5
2021-10-01 09:01:09+00:00,32469.0,-1.0,131.5
2021-10-01 09:01:09+00:00,32469.0,-1.0,131.5
2021-10-01 09:03:57+00:00,32637.0,-1.0,131.425
2021-10-01 09:04:09+00:00,32649.0,-1.0,131.45
2021-10-01 09:05:25+00:00,32725.0,-1.0,131.39999999999998
2021-10-01 09:05:30+00:00,32730.0,-1.0,131.39999999999998
2021-10-01 09:05:38.883000+00:00,32738.883,-1.0,131.39999999999998
2021-10-01 09:05:38.883000+00:00,32738.883,-1.0,131.39999999999998
2021-10-01 09:06:00.076000+00:00,32760.076,1.0,131.3
2021-10-01 09:06:00+00:00,32760.0,1.0,131.3
2021-10-01 09:06:07.874000+00:00,32767.874,1.0,131.3
2021-10-01 09:06:08.282000+00:00,32768.282,-1.0,131.3
2021-10-01 09:06:22+00:00,32782.0,1.0,131.22500000000002
2021-10-01 09:06:26+00:00,32786.0,1.0,131.22500000000002
2021-10-01 09:06:50+00:00,32810.0,-1.0,131.525
2021-10-01 09:07:44+00:00,32864.0,-1.0,131.575
