,key,Datetime,BidPrice_0,BidVolume_0,AskPrice_0,AskVolume_0,BidPrice_1,BidVolume_1,AskPrice_1,AskVolume_1,BidPrice_2,BidVolume_2,AskPrice_2,AskVolume_2,BidPrice_3,BidVolume_3,AskPrice_3,AskVolume_3,BidPrice_4,BidVolume_4,AskPrice_4,AskVolume_4,BidPrice_5,BidVolume_5,AskPrice_5,AskVolume_5,BidPrice_6,BidVolume_6,AskPrice_6,AskVolume_6,BidPrice_7,BidVolume_7,AskPrice_7,AskVolume_7,BidPrice_8,BidVolume_8,AskPrice_8,AskVolume_8,BidPrice_9,BidVolume_9,AskPrice_9,AskVolume_9
0,Germany_Baseload#19#0#10000106,2021-10-13 06:01:51.146000,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Germany_Baseload#19#0#10000106,2021-10-13 06:01:51.147000,52.0,1.0,123.25,1.0,48.0,3.0,124.5,1.0,,,132.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Germany_Baseload#19#0#10000106,2021-10-13 06:01:57.382000,118.0,1.0,123.25,1.0,52.0,1.0,124.5,1.0,48.0,3.0,132.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Germany_Baseload#19#0#10000106,2021-10-13 06:04:28.124000,119.0,1.0,123.25,1.0,118.0,1.0,124.5,1.0,52.0,1.0,132.24,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Germany_Baseload#19#0#10000106,2021-10-13 06:05:00.254000,119.25,1.0,123.25,1.0,119.0,1.0,124.5,1.0,118.0,1.0,132.24,1.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
5,Germany_Baseload#19#0#10000106,2021-10-13 06:09:16.990000,121.0,1.0,123.25,1.0,119.25,1.0,124.5,1.0,119.0,1.0,132.24,1.0,118.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
6,Germany_Baseload#19#0#10000106,2021-10-13 06:10:07.996000,121.0,2.0,123.25,1.0,119.25,1.0,124.5,1.0,119.0,1.0,132.24,1.0,118.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
7,Germany_Baseload#19#0#10000106,2021-10-13 06:10:47.986000,121.0,2.0,123.25,1.0,120.95,1.0,124.5,1.0,119.25,1.0,132.24,1.0,119.0,1.0,,,118.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
8,Germany_Baseload#19#0#10000106,2021-10-13 06:11:45.553000,121.1,1.0,123.25,1.0,121.0,1.0,124.5,1.0,120.95,1.0,132.24,1.0,119.25,1.0,,,119.0,1.0,,,118.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
9,Germany_Baseload#19#0#10000106,2021-10-13 06:11:46.848000,121.1,1.0,123.25,1.0,121.0,1.0,124.5,1.0,120.95,1.0,132.24,1.0,119.25,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
10,Germany_Baseload#19#0#10000106,2021-10-13 06:12:33.758000,121.5,2.0,123.25,1.0,121.1,1.0,124.5,1.0,121.0,1.0,132.24,1.0,120.95,1.0,,,119.25,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
11,Germany_Baseload#19#0#10000106,2021-10-13 06:12:41.075000,121.5,3.0,123.25,1.0,121.1,1.0,124.5,1.0,121.0,1.0,132.24,1.0,120.95,1.0,,,119.25,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
12,Germany_Baseload#19#0#10000106,2021-10-13 06:13:11.543000,121.5,3.0,123.25,1.0,121.1,1.0,124.5,1.0,121.0,1.0,132.24,1.0,120.95,1.0,,,119.25,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
13,Germany_Baseload#19#0#10000106,2021-10-13 06:14:06.509000,121.5,3.0,124.5,1.0,121.1,1.0,132.24,1.0,121.0,1.0,,,120.95,1.0,,,119.25,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
14,Germany_Baseload#19#0#10000106,2021-10-13 06:14:15.356000,121.5,3.0,124.5,1.0,121.1,1.0,132.24,1.0,121.0,1.0,,,120.95,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
15,Germany_Baseload#19#0#10000106,2021-10-13 06:14:18.035000,122.5,1.0,124.5,1.0,121.5,3.0,132.24,1.0,121.1,1.0,,,121.0,1.0,,,120.95,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
16,Germany_Baseload#19#0#10000106,2021-10-13 06:14:25.359000,122.5,1.0,124.5,1.0,121.5,3.0,125.0,1.0,121.1,1.0,132.24,1.0,121.0,1.0,,,120.95,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
17,Germany_Baseload#19#0#10000106,2021-10-13 06:14:25.360000,122.5,1.0,125.0,1.0,121.5,3.0,132.24,1.0,121.1,1.0,,,121.0,1.0,,,120.95,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
18,Germany_Baseload#19#0#10000106,2021-10-13 06:14:42.960000,122.5,2.0,125.0,1.0,121.5,1.0,132.24,1.0,121.1,1.0,,,121.0,1.0,,,120.95,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
19,Germany_Baseload#19#0#10000106,2021-10-13 06:14:56.070000,122.5,3.0,125.0,1.0,121.5,1.0,132.24,1.0,121.0,1.0,,,120.95,1.0,,,119.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
