,key,Datetime,BidPrice_0,BidVolume_0,AskPrice_0,AskVolume_0,BidPrice_1,BidVolume_1,AskPrice_1,AskVolume_1,BidPrice_2,BidVolume_2,AskPrice_2,AskVolume_2,BidPrice_3,BidVolume_3,AskPrice_3,AskVolume_3,BidPrice_4,BidVolume_4,AskPrice_4,AskVolume_4,BidPrice_5,BidVolume_5,AskPrice_5,AskVolume_5,BidPrice_6,BidVolume_6,AskPrice_6,AskVolume_6,BidPrice_7,BidVolume_7,AskPrice_7,AskVolume_7,BidPrice_8,BidVolume_8,AskPrice_8,AskVolume_8,BidPrice_9,BidVolume_9,AskPrice_9,AskVolume_9
0,Germany_Baseload#19#0#10000106,2021-10-27 06:00:02.466000,123.65,2.0,124.2,1.0,119.34,1.0,125.2,5.0,117.4,5.0,126.9,5.0,52.0,1.0,131.8,5.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
1,Germany_Baseload#19#0#10000106,2021-10-27 06:01:03.838000,123.65,2.0,124.2,1.0,120.2,1.0,125.2,5.0,119.34,1.0,126.9,5.0,117.4,5.0,131.8,5.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
2,Germany_Baseload#19#0#10000106,2021-10-27 06:03:33.400000,123.65,2.0,124.2,1.0,120.2,1.0,125.2,5.0,119.34,1.0,126.9,5.0,117.4,5.0,131.8,5.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
3,Germany_Baseload#19#0#10000106,2021-10-27 06:05:21.534000,123.65,2.0,124.2,1.0,120.5,1.0,125.2,5.0,120.2,1.0,126.9,5.0,119.34,1.0,131.8,5.0,117.4,5.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
4,Germany_Baseload#19#0#10000106,2021-10-27 06:08:25.962000,123.65,2.0,124.2,1.0,121.0,2.0,125.2,5.0,120.5,1.0,126.9,5.0,120.2,1.0,131.8,5.0,119.34,1.0,,,117.4,5.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
5,Germany_Baseload#19#0#10000106,2021-10-27 06:08:32.728000,123.65,2.0,124.0,1.0,121.0,2.0,124.2,1.0,120.5,1.0,125.2,5.0,120.2,1.0,126.9,5.0,119.34,1.0,131.8,5.0,117.4,5.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
6,Germany_Baseload#19#0#10000106,2021-10-27 06:10:34.031000,123.65,2.0,124.0,1.0,121.12,1.0,124.2,1.0,121.0,2.0,125.2,5.0,120.5,1.0,126.9,5.0,120.2,1.0,131.8,5.0,119.34,1.0,,,117.4,5.0,,,52.0,1.0,,,48.0,3.0,,,,,,
7,Germany_Baseload#19#0#10000106,2021-10-27 06:10:34.032000,123.65,2.0,124.0,1.0,121.12,1.0,124.2,1.0,121.0,2.0,125.2,5.0,120.5,1.0,126.9,5.0,119.34,1.0,131.8,5.0,117.4,5.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
8,Germany_Baseload#19#0#10000106,2021-10-27 06:10:51.475000,123.65,2.0,124.0,6.0,121.12,1.0,124.2,1.0,121.0,2.0,125.2,5.0,120.5,1.0,126.9,5.0,119.34,1.0,131.8,5.0,117.4,5.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,
9,Germany_Baseload#19#0#10000106,2021-10-27 06:11:08.790000,123.65,2.0,124.0,6.0,122.0,2.0,124.2,1.0,121.12,1.0,125.2,5.0,121.0,2.0,126.9,5.0,120.5,1.0,131.8,5.0,119.34,1.0,,,117.4,5.0,,,52.0,1.0,,,48.0,3.0,,,,,,
