,key,Datetime,BidPrice_0,BidVolume_0,AskPrice_0,AskVolume_0,BidPrice_1,BidVolume_1,AskPrice_1,AskVolume_1,BidPrice_2,BidVolume_2,AskPrice_2,AskVolume_2,BidPrice_3,BidVolume_3,AskPrice_3,AskVolume_3,BidPrice_4,BidVolume_4,AskPrice_4,AskVolume_4,BidPrice_5,BidVolume_5,AskPrice_5,AskVolume_5,BidPrice_6,BidVolume_6,AskPrice_6,AskVolume_6,BidPrice_7,BidVolume_7,AskPrice_7,AskVolume_7,BidPrice_8,BidVolume_8,AskPrice_8,AskVolume_8,BidPrice_9,BidVolume_9,AskPrice_9,AskVolume_9
0,Germany_Baseload#19#0#10000106,2021-10-28 05:51:59.542000,,,121.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Germany_Baseload#19#0#10000106,2021-10-28 06:00:26.639000,52.0,1.0,121.0,1.0,48.0,3.0,121.05,1.0,,,122.5,1.0,,,125.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Germany_Baseload#19#0#10000106,2021-10-28 06:00:50.144000,52.0,1.0,121.0,2.0,48.0,3.0,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Germany_Baseload#19#0#10000106,2021-10-28 06:00:55.543000,52.0,1.0,120.95,2.0,48.0,3.0,121.0,2.0,,,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,
4,Germany_Baseload#19#0#10000106,2021-10-28 06:01:04.295000,52.0,1.0,120.0,1.0,48.0,3.0,120.95,2.0,,,121.0,2.0,,,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,,,,,
5,Germany_Baseload#19#0#10000106,2021-10-28 06:01:04.296000,52.0,1.0,120.0,1.0,48.0,3.0,120.95,2.0,,,121.0,1.0,,,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,,,,,
6,Germany_Baseload#19#0#10000106,2021-10-28 06:01:15.378000,52.0,1.0,120.0,1.0,48.0,3.0,120.95,2.0,,,121.0,1.0,,,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,,,,,
7,Germany_Baseload#19#0#10000106,2021-10-28 06:01:18.587000,60.0,1.0,120.0,1.0,52.0,1.0,120.95,2.0,48.0,3.0,121.0,1.0,,,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,,,,,
8,Germany_Baseload#19#0#10000106,2021-10-28 06:01:22.015000,60.0,1.0,119.95,2.0,52.0,1.0,120.0,1.0,48.0,3.0,120.95,2.0,,,121.0,1.0,,,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,
9,Germany_Baseload#19#0#10000106,2021-10-28 06:01:22.016000,60.0,1.0,119.95,2.0,52.0,1.0,120.0,1.0,48.0,3.0,121.0,1.0,,,121.05,1.0,,,122.5,1.0,,,,,,,,,,,,,,,,,,,,
