,key,Datetime,BidPrice_0,BidVolume_0,AskPrice_0,AskVolume_0,BidPrice_1,BidVolume_1,AskPrice_1,AskVolume_1,BidPrice_2,BidVolume_2,AskPrice_2,AskVolume_2,BidPrice_3,BidVolume_3,AskPrice_3,AskVolume_3,BidPrice_4,BidVolume_4,AskPrice_4,AskVolume_4,BidPrice_5,BidVolume_5,AskPrice_5,AskVolume_5,BidPrice_6,BidVolume_6,AskPrice_6,AskVolume_6,BidPrice_7,BidVolume_7,AskPrice_7,AskVolume_7,BidPrice_8,BidVolume_8,AskPrice_8,AskVolume_8,BidPrice_9,BidVolume_9,AskPrice_9,AskVolume_9
0,Germany_Baseload#19#0#10000106,2021-10-05 05:51:02.568000,,,142.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Germany_Baseload#19#0#10000106,2021-10-05 06:00:00.436000,140.0,1.0,142.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Germany_Baseload#19#0#10000106,2021-10-05 06:00:00.437000,140.0,1.0,142.5,2.0,125.0,1.0,144.37,3.0,52.0,1.0,146.75,1.0,48.0,3.0,147.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3,Germany_Baseload#19#0#10000106,2021-10-05 06:00:46.771000,140.0,1.0,144.37,3.0,125.0,1.0,146.75,1.0,52.0,1.0,147.0,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Germany_Baseload#19#0#10000106,2021-10-05 06:02:49.133000,141.0,1.0,144.37,3.0,140.0,1.0,146.75,1.0,125.0,1.0,147.0,1.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
5,Germany_Baseload#19#0#10000106,2021-10-05 06:03:13.638000,141.0,1.0,146.75,1.0,140.0,1.0,147.0,1.0,125.0,1.0,148.0,3.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
6,Germany_Baseload#19#0#10000106,2021-10-05 06:04:20.223000,141.0,1.0,146.75,1.0,140.0,2.0,147.0,1.0,125.0,1.0,148.0,3.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
7,Germany_Baseload#19#0#10000106,2021-10-05 06:04:29.623000,141.0,1.0,146.75,2.0,140.0,2.0,147.0,1.0,125.0,1.0,148.0,3.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,Germany_Baseload#19#0#10000106,2021-10-05 06:04:41.542000,140.0,2.0,146.75,2.0,125.0,1.0,147.0,1.0,52.0,1.0,148.0,3.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Germany_Baseload#19#0#10000106,2021-10-05 06:04:48.618000,140.0,1.0,146.75,2.0,125.0,1.0,147.0,1.0,52.0,1.0,148.0,3.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Germany_Baseload#19#0#10000106,2021-10-05 06:04:48.647000,141.0,1.0,146.75,2.0,140.0,1.0,147.0,1.0,125.0,1.0,148.0,3.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
