,DateTime,Action,Volume,Price,AggressorAction
0,2021-10-11T06:05:39Z,Insert,1.0,119.00,Sell
1,2021-10-11T06:13:59.001Z,Update,1.0,117.50,Sell
2,2021-10-11T06:14:59.735Z,Update,2.0,117.25,Sell
3,2021-10-11T06:15:15.504Z,Update,1.0,117.25,Buy
4,2021-10-11T06:15:36Z,Insert,2.0,117.10,Sell
5,2021-10-11T06:15:38Z,Insert,1.0,117.00,Sell
6,2021-10-11T06:18:05Z,Insert,1.0,116.47,Sell
7,2021-10-11T06:18:41Z,Insert,2.0,116.50,Sell
8,2021-10-11T06:18:51Z,Insert,1.0,116.50,Sell
9,2021-10-11T06:19:05Z,Insert,1.0,115.20,Sell
10,2021-10-11T06:19:07Z,Insert,1.0,115.00,Sell
11,2021-10-11T06:19:11Z,Insert,1.0,115.00,Sell
12,2021-10-11T06:19:22Z,Insert,2.0,115.00,Sell
13,2021-10-11T06:19:24Z,Insert,1.0,115.00,Sell
14,2021-10-11T06:19:27Z,Insert,1.0,115.00,Sell
15,2021-10-11T06:19:32Z,Insert,1.0,115.00,Sell
16,2021-10-11T06:19:34Z,Insert,1.0,115.00,Sell
17,2021-10-11T06:20:16Z,Insert,1.0,115.45,Sell
18,2021-10-11T06:20:38Z,Insert,1.0,115.45,Sell
19,2021-10-11T06:20:38Z,Insert,1.0,115.45,Sell
20,2021-10-11T06:20:38Z,Insert,1.0,115.45,Sell
21,2021-10-11T06:20:59Z,Insert,1.0,115.50,Sell
22,2021-10-11T06:21:15Z,Insert,1.0,115.00,Sell
23,2021-10-11T06:21:37Z,Insert,1.0,115.00,Sell
24,2021-10-11T06:25:32.762Z,Update,1.0,116.95,Buy
25,2021-10-11T06:25:33Z,Insert,1.0,117.00,Sell
26,2021-10-11T06:30:01.964Z,Update,1.0,118.00,Buy
27,2021-10-11T06:30:45.925Z,Update,1.0,118.50,Buy
28,2021-10-11T06:30:48.704Z,Update,1.0,118.50,Buy
29,2021-10-11T06:30:48.823Z,Update,1.0,118.50,Buy
30,2021-10-11T06:30:50.356Z,Update,1.0,118.50,Buy
31,2021-10-11T06:30:52.213Z,Insert,1.0,118.50,Buy
32,2021-10-11T06:30:52.213Z,Insert,1.0,118.50,Buy
33,2021-10-11T06:30:53.697Z,Update,1.0,118.50,Buy
34,2021-10-11T06:30:55.094Z,Update,1.0,118.50,Buy
35,2021-10-11T06:30:57.607Z,Insert,1.0,118.50,Buy
36,2021-10-11T06:30:57.607Z,Insert,1.0,118.50,Buy
37,2021-10-11T06:31:24.557Z,Update,2.0,118.50,Sell
38,2021-10-11T06:33:43Z,Insert,1.0,119.59,Sell
39,2021-10-11T06:35:30.962Z,Update,1.0,119.00,Sell
40,2021-10-11T06:36:59Z,Insert,1.0,118.50,Sell
41,2021-10-11T06:44:39.906Z,Insert,1.0,119.50,Buy
42,2021-10-11T06:44:42.268Z,Insert,1.0,119.50,Buy
43,2021-10-11T06:44:42.329Z,Insert,1.0,119.50,Buy
44,2021-10-11T06:44:42.393Z,Insert,1.0,119.50,Buy
45,2021-10-11T06:44:42.462Z,Insert,1.0,119.50,Buy
46,2021-10-11T06:44:42.524Z,Insert,1.0,119.50,Buy
47,2021-10-11T06:44:42.589Z,Insert,1.0,119.50,Buy
48,2021-10-11T06:44:42.653Z,Insert,1.0,119.50,Buy
49,2021-10-11T06:44:42.72Z,Insert,1.0,119.50,Buy
50,2021-10-11T06:44:42.784Z,Insert,1.0,119.50,Buy
51,2021-10-11T06:49:03.549Z,Update,1.0,121.00,Sell
52,2021-10-11T06:49:17.537Z,Update,1.0,121.00,Buy
53,2021-10-11T06:50:39Z,Insert,1.0,121.50,Sell
54,2021-10-11T06:50:44.432Z,Update,1.0,121.50,Sell
55,2021-10-11T06:50:50Z,Insert,1.0,122.00,Sell
56,2021-10-11T06:50:52.844Z,Update,1.0,122.00,Buy
57,2021-10-11T06:53:30.955Z,Update,1.0,123.00,Sell
58,2021-10-11T06:53:36.284Z,Update,1.0,123.00,Sell
59,2021-10-11T06:53:42.586Z,Insert,1.0,123.00,Buy
60,2021-10-11T06:54:43.301Z,Insert,1.0,123.50,Buy
61,2021-10-11T06:54:53.33Z,Update,2.0,124.00,Buy
62,2021-10-11T06:54:54Z,Insert,1.0,124.00,Sell
63,2021-10-11T06:56:08Z,Insert,1.0,124.50,Sell
64,2021-10-11T06:56:37.947Z,Update,1.0,124.50,Sell
65,2021-10-11T07:00:39Z,Insert,2.0,122.50,Sell
66,2021-10-11T07:02:31Z,Insert,1.0,122.50,Sell
67,2021-10-11T07:06:14.685Z,Update,2.0,122.50,Buy
68,2021-10-11T07:06:41Z,Update,2.0,122.50,Buy
69,2021-10-11T07:06:41Z,Insert,2.0,122.50,Buy
70,2021-10-11T07:08:15.355Z,Update,1.0,124.00,Buy
71,2021-10-11T07:08:18.304Z,Update,1.0,124.00,Buy
72,2021-10-11T07:08:21Z,Insert,1.0,124.00,Sell
73,2021-10-11T07:08:24.247Z,Update,2.0,124.00,Buy
74,2021-10-11T07:08:24.262Z,Update,1.0,124.00,Buy
75,2021-10-11T07:08:43Z,Insert,1.0,124.00,Sell
76,2021-10-11T07:09:28.434Z,Update,1.0,123.00,Buy
77,2021-10-11T07:09:40Z,Insert,1.0,124.00,Sell
78,2021-10-11T07:10:28Z,Insert,1.0,123.75,Sell
79,2021-10-11T07:11:51Z,Insert,1.0,124.50,Sell
80,2021-10-11T07:12:13.478Z,Update,1.0,124.00,Buy
