,DateTime,Action,Volume,Price,AggressorAction
0,2021-10-01T06:26:39Z,Insert,1.0,130.40,Sell
1,2021-10-01T06:28:56Z,Insert,1.0,131.50,Sell
2,2021-10-01T06:33:56.257Z,Update,1.0,131.55,Sell
3,2021-10-01T06:34:09.287Z,Update,1.0,131.50,Sell
4,2021-10-01T06:35:01Z,Insert,1.0,130.65,Sell
5,2021-10-01T06:35:05.58Z,Insert,1.0,131.00,Sell
6,2021-10-01T06:35:07Z,Insert,1.0,131.50,Sell
7,2021-10-01T06:39:02Z,Insert,1.0,131.50,Sell
8,2021-10-01T06:41:18.332Z,Update,1.0,130.75,Buy
9,2021-10-01T06:42:14Z,Insert,1.0,130.00,Sell
10,2021-10-01T06:43:11Z,Insert,1.0,130.00,Sell
11,2021-10-01T06:48:37.33Z,Update,1.0,129.60,Sell
12,2021-10-01T06:49:14Z,Insert,1.0,129.20,Sell
13,2021-10-01T06:49:58Z,Insert,1.0,129.00,Sell
14,2021-10-01T06:50:40Z,Insert,1.0,128.80,Sell
15,2021-10-01T06:50:51.349Z,Update,1.0,128.50,Sell
16,2021-10-01T06:56:37.782Z,Insert,1.0,129.00,Buy
17,2021-10-01T06:56:37.782Z,Insert,1.0,129.00,Buy
18,2021-10-01T06:57:45Z,Insert,1.0,129.00,Sell
19,2021-10-01T06:59:52.863Z,Insert,1.0,129.00,Buy
20,2021-10-01T06:59:52.863Z,Insert,1.0,129.00,Sell
21,2021-10-01T07:02:09Z,Insert,1.0,129.00,Sell
22,2021-10-01T07:02:09Z,Update,1.0,129.00,Sell
23,2021-10-01T07:08:27Z,Insert,1.0,129.50,Sell
24,2021-10-01T07:09:19.896Z,Update,2.0,130.00,Buy
25,2021-10-01T07:09:25Z,Update,1.0,129.50,Sell
26,2021-10-01T07:09:37Z,Insert,1.0,130.00,Sell
27,2021-10-01T07:10:10.359Z,Update,1.0,130.00,Sell
28,2021-10-01T07:10:11.996Z,Update,1.0,130.00,Sell
29,2021-10-01T07:10:25.024Z,Update,2.0,130.00,Buy
30,2021-10-01T07:12:37Z,Insert,1.0,130.50,Sell
31,2021-10-01T07:12:47Z,Insert,1.0,130.50,Sell
32,2021-10-01T07:13:16Z,Insert,1.0,130.50,Sell
33,2021-10-01T07:14:29.487Z,Update,1.0,130.00,Sell
34,2021-10-01T07:14:35.519Z,Update,1.0,130.00,Sell
35,2021-10-01T07:17:41Z,Insert,1.0,130.00,Sell
36,2021-10-01T07:20:07Z,Insert,2.0,130.30,Sell
37,2021-10-01T07:20:52.011Z,Update,2.0,130.50,Buy
38,2021-10-01T07:21:31Z,Insert,1.0,130.50,Sell
39,2021-10-01T07:23:01Z,Insert,1.0,131.00,Sell
40,2021-10-01T07:26:52Z,Insert,1.0,131.00,Sell
41,2021-10-01T07:26:59Z,Insert,1.0,131.00,Sell
42,2021-10-01T07:28:52Z,Insert,1.0,130.88,Sell
43,2021-10-01T07:30:12.395Z,Update,1.0,131.00,Sell
44,2021-10-01T07:30:14Z,Insert,1.0,131.00,Sell
45,2021-10-01T07:30:17Z,Insert,3.0,131.00,Sell
46,2021-10-01T07:30:35.319Z,Insert,1.0,131.00,Sell
47,2021-10-01T07:30:35.319Z,Insert,1.0,131.00,Sell
48,2021-10-01T07:33:05.844Z,Update,1.0,131.00,Buy
49,2021-10-01T07:39:17.409Z,Update,1.0,130.90,Sell
50,2021-10-01T07:39:42.077Z,Update,1.0,130.75,Sell
51,2021-10-01T07:39:42Z,Update,1.0,130.75,Buy
52,2021-10-01T07:39:43Z,Insert,1.0,130.75,Sell
53,2021-10-01T07:40:04.161Z,Insert,1.0,130.75,Buy
54,2021-10-01T07:40:04.161Z,Insert,1.0,130.75,Buy
55,2021-10-01T07:40:04.161Z,Insert,1.0,130.75,Sell
56,2021-10-01T07:44:45.492Z,Update,1.0,130.75,Sell
57,2021-10-01T07:44:48.256Z,Update,1.0,130.60,Sell
58,2021-10-01T07:44:48Z,Insert,1.0,130.60,Sell
59,2021-10-01T07:44:50.202Z,Update,1.0,130.75,Sell
60,2021-10-01T07:44:50.858Z,Update,1.0,130.60,Sell
61,2021-10-01T07:44:51.389Z,Update,1.0,130.60,Sell
62,2021-10-01T07:44:53.696Z,Update,1.0,130.75,Sell
63,2021-10-01T07:44:54.182Z,Update,1.0,130.60,Sell
64,2021-10-01T07:44:55.691Z,Update,1.0,130.75,Sell
65,2021-10-01T07:44:55Z,Insert,1.0,130.84,Sell
66,2021-10-01T07:44:57.911Z,Update,1.0,130.75,Sell
67,2021-10-01T07:45:01.031Z,Insert,1.0,130.75,Sell
68,2021-10-01T07:45:12.251Z,Update,1.0,130.60,Sell
69,2021-10-01T07:45:29.462Z,Update,1.0,130.60,Sell
70,2021-10-01T07:45:38.341Z,Update,1.0,130.60,Sell
71,2021-10-01T07:46:18.772Z,Update,1.0,130.60,Sell
72,2021-10-01T07:46:32.114Z,Update,1.0,130.50,Sell
73,2021-10-01T07:46:32.614Z,Update,1.0,130.50,Sell
74,2021-10-01T07:46:34.344Z,Update,10.0,130.30,Sell
75,2021-10-01T07:46:35.557Z,Update,2.0,130.50,Sell
76,2021-10-01T07:46:50Z,Insert,1.0,130.50,Sell
77,2021-10-01T07:47:18.35Z,Update,1.0,130.50,Sell
78,2021-10-01T07:48:15.824Z,Update,1.0,130.25,Sell
79,2021-10-01T07:48:20Z,Insert,1.0,130.15,Sell
80,2021-10-01T07:48:22Z,Insert,1.0,130.15,Sell
81,2021-10-01T07:48:26.354Z,Update,1.0,130.50,Sell
82,2021-10-01T07:48:44Z,Insert,2.0,130.00,Sell
83,2021-10-01T07:49:46.342Z,Update,1.0,130.00,Sell
84,2021-10-01T07:49:50.023Z,Update,1.0,130.00,Sell
85,2021-10-01T07:51:09.145Z,Update,1.0,130.00,Sell
86,2021-10-01T07:51:09Z,Insert,1.0,130.05,Sell
87,2021-10-01T07:51:14.81Z,Update,1.0,130.00,Sell
88,2021-10-01T07:51:20.098Z,Update,1.0,130.00,Sell
89,2021-10-01T07:51:20Z,Insert,1.0,130.30,Sell
90,2021-10-01T07:51:21Z,Insert,1.0,130.00,Sell
91,2021-10-01T07:51:28.889Z,Update,1.0,130.00,Sell
92,2021-10-01T07:51:56Z,Insert,1.0,130.00,Sell
93,2021-10-01T07:52:52Z,Insert,4.0,130.30,Sell
94,2021-10-01T07:54:49Z,Insert,1.0,130.30,Sell
95,2021-10-01T07:55:17.953Z,Update,1.0,130.40,Buy
96,2021-10-01T07:56:08.491Z,Insert,10.0,130.30,Sell
97,2021-10-01T07:57:41Z,Insert,1.0,130.50,Sell
98,2021-10-01T07:57:45.163Z,Update,1.0,130.500,Buy
99,2021-10-01T07:57:45.163Z,Insert,1.0,130.50,Sell
100,2021-10-01T07:59:48.68Z,Update,1.0,130.50,Sell
101,2021-10-01T08:00:16Z,Insert,5.0,130.50,Sell
102,2021-10-01T08:01:20Z,Insert,5.0,130.50,Sell
103,2021-10-01T08:03:03.777Z,Update,1.0,130.35,Sell
104,2021-10-01T08:03:03.819Z,Update,1.0,130.35,Sell
105,2021-10-01T08:03:07.772Z,Update,1.0,130.30,Sell
106,2021-10-01T08:04:06Z,Update,1.0,130.10,Buy
107,2021-10-01T08:04:06Z,Update,1.0,130.10,Sell
108,2021-10-01T08:04:36Z,Insert,1.0,130.00,Sell
109,2021-10-01T08:04:37Z,Insert,1.0,130.00,Sell
110,2021-10-01T08:04:40Z,Insert,1.0,130.00,Sell
111,2021-10-01T08:04:51Z,Insert,1.0,130.00,Sell
112,2021-10-01T08:05:00Z,Insert,1.0,130.20,Sell
113,2021-10-01T08:05:23.959Z,Update,1.0,130.10,Sell
114,2021-10-01T08:05:27Z,Insert,1.0,130.00,Sell
115,2021-10-01T08:06:47.787Z,Update,1.0,130.00,Buy
116,2021-10-01T08:07:50.777Z,Update,1.0,130.00,Buy
117,2021-10-01T08:07:54.051Z,Insert,1.0,130.00,Buy
118,2021-10-01T08:07:54.051Z,Insert,1.0,130.00,Buy
119,2021-10-01T08:07:54.051Z,Update,1.0,130.00,Sell
120,2021-10-01T08:07:54.051Z,Update,1.0,130.01,Buy
121,2021-10-01T08:08:06.103Z,Update,1.0,130.00,Sell
122,2021-10-01T08:09:01Z,Insert,1.0,130.00,Sell
123,2021-10-01T08:10:43.235Z,Insert,1.0,130.00,Buy
124,2021-10-01T08:10:43.235Z,Insert,1.0,130.00,Buy
125,2021-10-01T08:11:14.19Z,Update,1.0,130.00,Sell
126,2021-10-01T08:11:14Z,Update,1.0,130.00,Sell
127,2021-10-01T08:11:19Z,Insert,1.0,130.00,Sell
