,DateTime,Action,Volume,Price,AggressorAction
0,2021-10-14T06:01:18.963Z,Update,1.0,127.00,Buy
1,2021-10-14T06:05:45.66Z,Update,1.0,128.00,Buy
2,2021-10-14T06:05:45Z,Update,1.0,128.00,Buy
3,2021-10-14T06:12:10.464Z,Update,1.0,130.00,Buy
4,2021-10-14T06:20:52.95Z,Update,1.0,129.00,Sell
5,2021-10-14T06:20:55.784Z,Update,1.0,129.00,Sell
6,2021-10-14T06:20:59.071Z,Update,1.0,129.00,Sell
7,2021-10-14T06:22:13.511Z,Update,1.0,129.40,Buy
8,2021-10-14T06:22:17.944Z,Update,4.0,129.40,Sell
9,2021-10-14T06:22:21Z,Insert,4.0,129.50,Sell
10,2021-10-14T06:22:22.512Z,Update,1.0,129.50,Buy
11,2021-10-14T06:23:00.254Z,Update,1.0,130.00,Buy
12,2021-10-14T06:23:04Z,Insert,1.0,130.00,Sell
13,2021-10-14T06:23:06Z,Insert,1.0,130.00,Sell
14,2021-10-14T06:23:06Z,Insert,1.0,130.00,Sell
15,2021-10-14T06:23:06Z,Insert,1.0,130.00,Sell
16,2021-10-14T06:23:08.831Z,Update,1.0,130.00,Buy
17,2021-10-14T06:23:11Z,Insert,1.0,130.00,Sell
18,2021-10-14T06:23:14.889Z,Update,1.0,130.00,Buy
19,2021-10-14T06:23:16.724Z,Update,1.0,130.00,Buy
20,2021-10-14T06:23:19.757Z,Update,1.0,130.00,Buy
21,2021-10-14T06:25:10Z,Insert,1.0,130.50,Sell
22,2021-10-14T06:25:19.096Z,Update,1.0,130.25,Buy
23,2021-10-14T06:29:27.987Z,Update,1.0,130.00,Sell
24,2021-10-14T06:43:06Z,Insert,1.0,129.70,Sell
25,2021-10-14T06:43:12.834Z,Update,1.0,129.75,Buy
26,2021-10-14T06:43:12Z,Insert,5.0,129.75,Buy
27,2021-10-14T06:44:51.048Z,Insert,1.0,129.50,Buy
28,2021-10-14T06:45:14.885Z,Insert,1.0,129.50,Buy
29,2021-10-14T06:47:25.043Z,Update,3.0,129.500,Buy
30,2021-10-14T06:51:07.41Z,Update,3.0,129.80,Buy
31,2021-10-14T06:52:54.679Z,Update,1.0,129.90,Sell
32,2021-10-14T06:53:15.554Z,Update,1.0,130.00,Sell
33,2021-10-14T06:53:17Z,Insert,1.0,130.00,Sell
34,2021-10-14T06:53:20.223Z,Update,1.0,130.00,Sell
35,2021-10-14T06:53:23.412Z,Update,1.0,130.00,Buy
36,2021-10-14T06:54:01.449Z,Update,1.0,130.00,Buy
37,2021-10-14T06:54:20Z,Insert,1.0,130.20,Sell
38,2021-10-14T06:54:37Z,Insert,5.0,130.25,Sell
39,2021-10-14T06:56:08Z,Insert,1.0,130.40,Sell
40,2021-10-14T06:56:11.121Z,Update,1.0,130.50,Buy
41,2021-10-14T06:56:53Z,Insert,1.0,130.50,Sell
42,2021-10-14T06:58:00Z,Update,5.0,130.25,Sell
43,2021-10-14T07:00:51.818Z,Update,1.0,130.25,Sell
44,2021-10-14T07:01:39Z,Insert,2.0,130.00,Sell
45,2021-10-14T07:03:17.571Z,Update,1.0,130.00,Buy
46,2021-10-14T07:03:20Z,Insert,1.0,130.00,Sell
47,2021-10-14T07:04:02.867Z,Update,1.0,129.50,Sell
48,2021-10-14T07:06:01.997Z,Update,1.0,129.40,Sell
49,2021-10-14T07:08:53Z,Insert,2.0,129.50,Sell
50,2021-10-14T07:19:46Z,Insert,1.0,129.30,Sell
51,2021-10-14T07:28:16.838Z,Insert,1.0,129.50,Sell
52,2021-10-14T07:28:23.921Z,Update,1.0,129.50,Sell
53,2021-10-14T07:31:27Z,Insert,2.0,129.50,Sell
54,2021-10-14T07:34:39.71Z,Update,1.0,129.75,Buy
55,2021-10-14T07:34:45.133Z,Update,1.0,129.75,Buy
56,2021-10-14T07:34:50.894Z,Insert,1.0,130.00,Buy
57,2021-10-14T07:34:51Z,Insert,2.0,130.00,Sell
58,2021-10-14T07:35:03Z,Insert,1.0,130.00,Sell
59,2021-10-14T07:37:28Z,Insert,1.0,130.90,Sell
60,2021-10-14T07:37:31.158Z,Update,1.0,130.50,Sell
61,2021-10-14T07:37:40Z,Insert,4.0,131.00,Sell
62,2021-10-14T07:46:01Z,Insert,1.0,130.98,Sell
63,2021-10-14T07:46:02Z,Insert,1.0,131.00,Sell
64,2021-10-14T07:50:10Z,Insert,1.0,131.00,Sell
65,2021-10-14T07:50:19.445Z,Update,2.0,131.00,Buy
66,2021-10-14T07:50:21Z,Insert,2.0,131.00,Sell
67,2021-10-14T07:51:26Z,Insert,1.0,131.00,Sell
68,2021-10-14T07:51:58Z,Insert,1.0,131.00,Sell
69,2021-10-14T07:52:01Z,Insert,1.0,131.00,Sell
70,2021-10-14T07:52:02Z,Insert,1.0,131.00,Sell
71,2021-10-14T07:52:03Z,Insert,1.0,131.00,Sell
72,2021-10-14T07:52:28.924Z,Update,1.0,131.00,Buy
73,2021-10-14T07:52:28Z,Insert,1.0,131.00,Sell
74,2021-10-14T07:55:37.044Z,Insert,2.0,131.00,Buy
75,2021-10-14T07:56:18Z,Insert,1.0,131.37,Sell
76,2021-10-14T07:57:08.844Z,Update,1.0,131.89,Sell
77,2021-10-14T08:01:48Z,Insert,1.0,131.50,Sell
78,2021-10-14T08:02:06.394Z,Update,1.0,131.50,Sell
