,DateTime,Action,Volume,Price,AggressorAction,AggressorBroker
0,2021-10-18T06:39:24Z,Insert,1.0,125.15,Sell,EEX
1,2021-10-18T06:39:28Z,Insert,1.0,125.00,Sell,EEX
2,2021-10-18T06:51:19Z,Insert,1.0,125.15,Sell,EEX
3,2021-10-18T06:51:25.504Z,Update,1.0,125.25,Sell,Tradition
4,2021-10-18T06:51:25Z,Update,1.0,125.25,Sell,Tradition
5,2021-10-18T06:51:44Z,Update,1.0,125.25,Buy,Tradition
6,2021-10-18T06:51:44Z,Update,1.0,125.25,Sell,Tradition
7,2021-10-18T06:53:03Z,Insert,1.0,125.25,Sell,EEX
8,2021-10-18T07:05:38.061Z,Update,1.0,125.85,Sell,Tradition
9,2021-10-18T07:05:41.077Z,Update,1.0,125.85,Sell,Tradition
10,2021-10-18T07:05:41.092Z,Update,1.0,125.85,Sell,Tradition
11,2021-10-18T07:05:41.17Z,Update,1.0,125.85,Sell,Tradition
12,2021-10-18T07:05:44Z,Insert,1.0,125.80,Sell,EEX
13,2021-10-18T07:06:01.077Z,Update,1.0,125.40,Sell,Tradition
14,2021-10-18T07:06:03.786Z,Update,1.0,125.30,Sell,Marex Spectron
15,2021-10-18T07:06:06Z,Insert,1.0,125.25,Sell,EEX
16,2021-10-18T07:06:12Z,Insert,2.0,125.00,Sell,EEX
17,2021-10-18T07:16:24Z,Insert,3.0,126.25,Sell,EEX
18,2021-10-18T07:16:42Z,Insert,1.0,126.50,Sell,EEX
19,2021-10-18T07:21:11.575Z,Update,1.0,126.00,Buy,Tullett Prebon
20,2021-10-18T07:32:04.317Z,Update,2.0,127.00,Buy,Tradition
21,2021-10-18T07:32:05Z,Insert,1.0,127.00,Sell,EEX
22,2021-10-18T07:32:18Z,Insert,1.0,126.00,Sell,EEX
23,2021-10-18T07:33:32Z,Insert,1.0,126.00,Sell,EEX
24,2021-10-18T07:40:21Z,Insert,1.0,127.00,Sell,EEX
25,2021-10-18T07:42:19.798Z,Update,1.0,127.25,Sell,Tradition
26,2021-10-18T07:42:26.715Z,Update,1.0,127.25,Buy,Arraco Global Markets
27,2021-10-18T07:45:04.573Z,Update,1.0,127.25,Buy,Arraco Global Markets
28,2021-10-18T07:46:51Z,Insert,1.0,128.00,Sell,EEX
29,2021-10-18T07:46:55.952Z,Update,2.0,128.00,Buy,Marex Spectron
30,2021-10-18T07:55:00.59Z,Update,1.0,128.00,Sell,Tradition
31,2021-10-18T07:59:51.732Z,Update,1.0,128.40,Buy,ICAP
32,2021-10-18T07:59:55.998Z,Update,1.0,128.50,Buy,Marex Spectron
33,2021-10-18T07:59:56.151Z,Update,1.0,128.50,Sell,Tradition
34,2021-10-18T08:05:22.998Z,Update,1.0,128.50,Buy,Tullett Prebon
35,2021-10-18T08:12:04Z,Insert,2.0,128.25,Sell,EEX
36,2021-10-18T08:13:47.889Z,Update,1.0,128.25,Buy,Tullett Prebon
37,2021-10-18T08:13:51.222Z,Update,1.0,128.25,Buy,Tullett Prebon
38,2021-10-18T08:16:30Z,Insert,1.0,128.25,Sell,EEX
39,2021-10-18T08:17:50Z,Insert,1.0,128.50,Sell,EEX
40,2021-10-18T08:20:53Z,Insert,1.0,128.50,Sell,EEX
41,2021-10-18T08:21:33.483Z,Update,1.0,128.25,Sell,GFI
42,2021-10-18T08:23:27.718Z,Update,1.0,128.50,Buy,Tullett Prebon
43,2021-10-18T08:23:31Z,Update,1.0,128.50,Buy,Tullett Prebon
44,2021-10-18T08:23:34.422Z,Update,1.0,128.50,Buy,Tullett Prebon
45,2021-10-18T08:25:37.075Z,Update,1.0,128.50,Buy,Tullett Prebon
46,2021-10-18T08:28:50Z,Insert,2.0,129.00,Sell,EEX
47,2021-10-18T08:29:01Z,Insert,1.0,129.25,Sell,EEX
48,2021-10-18T08:30:00Z,Insert,5.0,129.00,Buy,GFI
49,2021-10-18T08:35:16Z,Insert,1.0,128.90,Sell,EEX
50,2021-10-18T08:41:59Z,Insert,1.0,129.00,Sell,EEX
51,2021-10-18T08:41:59Z,Insert,1.0,129.00,Sell,EEX
52,2021-10-18T08:42:00Z,Insert,1.0,129.00,Sell,EEX
53,2021-10-18T08:42:00Z,Insert,1.0,129.00,Sell,EEX
54,2021-10-18T08:42:01Z,Insert,1.0,129.00,Sell,EEX
55,2021-10-18T08:43:14Z,Insert,1.0,129.00,Sell,EEX
56,2021-10-18T08:44:47Z,Insert,1.0,129.00,Sell,EEX
57,2021-10-18T08:45:00Z,Update,5.0,129.25,Sell,GFI
58,2021-10-18T08:47:29.399Z,Update,1.0,129.00,Sell,Tradition
59,2021-10-18T08:47:47.008Z,Update,1.0,129.00,Sell,Tradition
60,2021-10-18T08:48:22.118Z,Update,1.0,128.65,Sell,GFI
61,2021-10-18T08:48:23.383Z,Update,1.0,128.50,Sell,Tradition
62,2021-10-18T08:49:29.08Z,Update,1.0,128.50,Sell,Tullett Prebon
63,2021-10-18T08:54:13.333Z,Update,1.0,128.50,Sell,Tullett Prebon
64,2021-10-18T08:56:22.524Z,Update,1.0,128.50,Sell,Tullett Prebon
65,2021-10-18T09:00:46Z,Insert,1.0,128.50,Sell,EEX
66,2021-10-18T09:00:46Z,Insert,1.0,128.50,Sell,EEX
67,2021-10-18T09:00:46Z,Insert,1.0,128.50,Sell,EEX
68,2021-10-18T09:02:23.96Z,Update,1.0,128.75,Buy,GFI
69,2021-10-18T09:02:48.463Z,Update,1.0,128.75,Buy,Tullett Prebon
70,2021-10-18T09:02:54Z,Insert,1.0,129.00,Sell,EEX
71,2021-10-18T09:02:57Z,Insert,1.0,129.00,Sell,EEX
72,2021-10-18T09:07:43Z,Insert,3.0,129.00,Sell,EEX
