,DateTime,Action,Volume,Price,AggressorAction,AggressorBroker
0,2021-10-26T07:11:09.753Z,Update,1.0,124.50,Buy,GFI
1,2021-10-26T07:34:08Z,Insert,1.0,124.00,Sell,EEX
2,2021-10-26T07:34:32Z,Insert,1.0,123.42,Sell,EEX
3,2021-10-26T07:38:47Z,Insert,1.0,124.00,Sell,EEX
4,2021-10-26T07:50:09.832Z,Update,1.0,124.00,Sell,Tradition
5,2021-10-26T07:50:59Z,Insert,1.0,124.00,Sell,EEX
6,2021-10-26T08:17:39Z,Insert,1.0,123.95,Sell,EEX
7,2021-10-26T08:23:21Z,Insert,1.0,123.95,Sell,EEX
8,2021-10-26T08:27:34Z,Insert,1.0,123.95,Sell,EEX
9,2021-10-26T08:29:52Z,Insert,4.0,124.00,Sell,EEX
10,2021-10-26T08:29:55Z,Insert,1.0,124.00,Sell,EEX
11,2021-10-26T08:30:04Z,Insert,3.0,124.00,Sell,EEX
12,2021-10-26T08:38:27Z,Insert,2.0,124.00,Sell,EEX
13,2021-10-26T08:42:31Z,Insert,7.0,124.00,Sell,EEX
14,2021-10-26T08:50:40.42Z,Update,1.0,124.15,Sell,Tradition
15,2021-10-26T08:51:50.841Z,Update,1.0,124.15,Sell,Tradition
16,2021-10-26T08:53:02Z,Insert,1.0,124.20,Sell,EEX
17,2021-10-26T08:53:26Z,Insert,1.0,124.25,Sell,EEX
18,2021-10-26T08:54:48.559Z,Update,1.0,124.15,Sell,Tradition
19,2021-10-26T08:54:48Z,Update,1.0,124.15,Sell,Tradition
20,2021-10-26T09:03:09Z,Insert,1.0,124.15,Sell,EEX
21,2021-10-26T09:06:37.096Z,Update,1.0,124.05,Sell,GFI
22,2021-10-26T09:08:24.557Z,Update,1.0,124.05,Sell,GFI
23,2021-10-26T09:11:32Z,Insert,5.0,124.15,Sell,EEX
24,2021-10-26T09:14:42Z,Insert,1.0,124.15,Sell,EEX
25,2021-10-26T09:22:44.847Z,Update,1.0,124.00,Sell,Tullett Prebon
26,2021-10-26T09:25:12Z,Insert,1.0,124.00,Sell,EEX
27,2021-10-26T09:28:59Z,Insert,1.0,124.15,Sell,EEX
28,2021-10-26T09:30:39Z,Insert,1.0,124.15,Sell,EEX
29,2021-10-26T09:33:39Z,Insert,2.0,124.25,Sell,EEX
30,2021-10-26T09:33:42Z,Insert,3.0,124.25,Sell,EEX
31,2021-10-26T09:37:07.308Z,Update,1.0,124.00,Sell,ICAP
32,2021-10-26T09:37:49Z,Insert,1.0,124.00,Sell,EEX
33,2021-10-26T09:43:08Z,Insert,1.0,124.30,Sell,EEX
34,2021-10-26T09:47:16.899Z,Update,1.0,124.15,Sell,Tradition
35,2021-10-26T09:54:57Z,Insert,2.0,124.45,Sell,EEX
36,2021-10-26T09:57:42Z,Insert,2.0,124.75,Sell,EEX
37,2021-10-26T09:58:28Z,Insert,1.0,124.50,Sell,EEX
38,2021-10-26T10:21:34.664Z,Update,2.0,124.350,Sell,Griffin Markets Europe SAS
39,2021-10-26T10:21:35.614Z,Update,1.0,124.35,Buy,Griffin Markets Europe SAS
40,2021-10-26T10:25:45.62Z,Update,1.0,124.45,Buy,GFI
41,2021-10-26T10:33:09.41Z,Update,2.0,124.350,Sell,Griffin Markets Europe SAS
42,2021-10-26T10:33:16.818Z,Update,2.0,124.350,Sell,Griffin Markets Europe SAS
43,2021-10-26T10:33:19.521Z,Update,1.0,124.350,Sell,Griffin Markets Europe SAS
44,2021-10-26T10:33:27Z,Insert,1.0,124.30,Sell,EEX
45,2021-10-26T10:37:36.521Z,Update,1.0,124.20,Buy,Griffin Markets Europe SAS
46,2021-10-26T10:39:58.271Z,Update,1.0,124.00,Buy,Tradition
47,2021-10-26T10:40:57.611Z,Update,1.0,124.25,Buy,Griffin Markets Europe SAS
48,2021-10-26T10:42:43.984Z,Update,1.0,124.25,Buy,Griffin Markets Europe SAS
49,2021-10-26T10:45:47Z,Insert,1.0,124.24,Sell,EEX
50,2021-10-26T10:54:24.938Z,Update,1.0,124.50,Buy,Marex Spectron
51,2021-10-26T10:59:58Z,Insert,1.0,124.50,Sell,EEX
52,2021-10-26T11:01:33Z,Insert,1.0,124.30,Sell,EEX
53,2021-10-26T11:01:35Z,Insert,1.0,124.25,Sell,EEX
54,2021-10-26T11:01:36.746Z,Update,1.0,124.25,Sell,ICAP
55,2021-10-26T11:01:44Z,Insert,1.0,124.20,Sell,EEX
56,2021-10-26T11:01:50Z,Insert,1.0,124.15,Sell,EEX
57,2021-10-26T11:01:57.467Z,Insert,1.0,124.15,Sell,Marex Spectron
58,2021-10-26T11:02:20.278Z,Update,1.0,124.10,Buy,Tradition
59,2021-10-26T11:02:20Z,Insert,1.0,124.10,Sell,EEX
60,2021-10-26T11:06:25.574Z,Update,1.0,124.25,Buy,Tullett Prebon
61,2021-10-26T11:06:29.607Z,Update,1.0,124.25,Buy,Tullett Prebon
62,2021-10-26T11:08:37Z,Insert,1.0,124.25,Sell,EEX
63,2021-10-26T11:08:51.477Z,Update,1.0,124.25,Buy,GFI
64,2021-10-26T11:15:34.516Z,Update,1.0,124.30,Buy,Tullett Prebon
65,2021-10-26T11:15:55Z,Insert,1.0,124.30,Sell,EEX
66,2021-10-26T11:15:58Z,Insert,1.0,124.30,Sell,EEX
67,2021-10-26T11:17:07.742Z,Update,2.0,124.35,Buy,Tradition
68,2021-10-26T11:18:26Z,Insert,1.0,124.20,Sell,EEX
69,2021-10-26T11:23:30Z,Insert,1.0,124.00,Sell,EEX
70,2021-10-26T11:23:42.703Z,Insert,1.0,124.15,Sell,Griffin Markets Europe SAS
71,2021-10-26T11:23:42.703Z,Insert,1.0,124.15,Sell,Griffin Markets Europe SAS
72,2021-10-26T11:23:42.703Z,Insert,1.0,124.15,Sell,Griffin Markets Europe SAS
73,2021-10-26T11:23:43.63Z,Update,1.0,124.00,Buy,Tradition
74,2021-10-26T11:24:49.286Z,Update,1.0,124.00,Buy,Tradition
75,2021-10-26T11:24:54.614Z,Update,1.0,124.00,Buy,Tradition
76,2021-10-26T11:24:59.426Z,Update,1.0,124.00,Buy,Tradition
77,2021-10-26T11:25:02.411Z,Update,1.0,124.00,Buy,Tradition
78,2021-10-26T11:28:37.214Z,Insert,1.0,124.00,Sell,Marex Spectron
79,2021-10-26T11:37:05.094Z,Update,1.0,124.00,Buy,ICAP
80,2021-10-26T11:45:58.559Z,Update,1.0,124.00,Buy,Tradition
81,2021-10-26T11:46:19.559Z,Update,2.0,124.00,Sell,Tradition
82,2021-10-26T11:46:19.559Z,Update,1.0,124.00,Buy,Tradition
83,2021-10-26T11:48:40.325Z,Update,1.0,124.00,Sell,Griffin Markets Europe SAS
84,2021-10-26T11:48:42.043Z,Update,1.0,124.00,Sell,Tradition
85,2021-10-26T11:50:20Z,Insert,1.0,123.95,Sell,Tradition
86,2021-10-26T11:56:22.337Z,Update,1.0,123.80,Sell,Tradition
87,2021-10-26T11:57:18Z,Update,1.0,123.80,Sell,Tradition
