,DateTime,Action,Volume,Price,AggressorAction,AggressorBroker
0,2021-10-12T06:49:18Z,Insert,1.0,118.69,Sell,EEX
1,2021-10-12T06:49:19.586Z,Update,2.0,118.75,Buy,Marex Spectron
2,2021-10-12T06:49:22Z,Insert,1.0,118.88,Sell,EEX
3,2021-10-12T06:49:38Z,Insert,1.0,118.95,Sell,EEX
4,2021-10-12T06:49:43.428Z,Update,2.0,119.00,Buy,Marex Spectron
5,2021-10-12T06:49:59.055Z,Update,2.0,119.25,Buy,Marex Spectron
6,2021-10-12T06:51:45.774Z,Update,1.0,119.50,Buy,Marex Spectron
7,2021-10-12T06:51:47.942Z,Update,1.0,119.50,Buy,Marex Spectron
8,2021-10-12T06:53:11Z,Insert,1.0,119.00,Sell,EEX
9,2021-10-12T06:53:18.314Z,Update,1.0,119.00,Buy,Marex Spectron
10,2021-10-12T06:54:35Z,Insert,1.0,119.50,Sell,EEX
11,2021-10-12T06:55:37.106Z,Update,1.0,119.45,Buy,Tradition
12,2021-10-12T06:56:30Z,Insert,1.0,119.50,Sell,EEX
13,2021-10-12T06:56:38.139Z,Update,1.0,119.50,Sell,Tullett Prebon
14,2021-10-12T06:56:42Z,Insert,1.0,119.50,Sell,EEX
15,2021-10-12T06:57:32Z,Insert,1.0,119.05,Sell,EEX
16,2021-10-12T06:57:51Z,Insert,1.0,119.00,Sell,EEX
17,2021-10-12T06:57:54.73Z,Update,1.0,119.00,Sell,GFI
18,2021-10-12T06:58:12.173Z,Update,3.0,118.50,Buy,GFI
19,2021-10-12T07:02:00.385Z,Update,2.0,118.00,Sell,Tradition
20,2021-10-12T07:02:01.813Z,Update,1.0,118.00,Sell,Marex Spectron
21,2021-10-12T07:02:08.243Z,Update,1.0,118.00,Sell,Marex Spectron
22,2021-10-12T07:02:13.422Z,Update,1.0,118.00,Buy,Marex Spectron
23,2021-10-12T07:02:16.326Z,Update,1.0,118.00,Sell,Marex Spectron
24,2021-10-12T07:02:19.139Z,Update,1.0,118.00,Sell,Marex Spectron
25,2021-10-12T07:02:33.845Z,Update,1.0,118.00,Buy,ICAP
26,2021-10-12T07:02:59Z,Insert,1.0,118.00,Sell,EEX
27,2021-10-12T07:03:14Z,Update,1.0,118.00,Buy,Tullett Prebon
28,2021-10-12T07:03:14Z,Insert,1.0,118.00,Sell,EEX
29,2021-10-12T07:07:43Z,Insert,1.0,118.25,Sell,EEX
30,2021-10-12T07:07:51Z,Insert,1.0,118.50,Sell,EEX
31,2021-10-12T07:07:53.829Z,Update,1.0,118.500,Buy,Griffin Markets Europe SAS
32,2021-10-12T07:08:29.018Z,Update,1.0,119.00,Buy,GFI
33,2021-10-12T07:09:50Z,Insert,1.0,119.00,Sell,EEX
34,2021-10-12T07:10:09Z,Insert,1.0,119.00,Sell,EEX
35,2021-10-12T07:16:13Z,Insert,1.0,119.00,Sell,EEX
36,2021-10-12T07:17:55Z,Insert,1.0,119.40,Sell,EEX
37,2021-10-12T07:17:57.895Z,Update,1.0,119.50,Sell,Tradition
38,2021-10-12T07:17:59Z,Insert,1.0,119.50,Sell,EEX
39,2021-10-12T07:18:59.707Z,Update,1.0,120.00,Sell,Tradition
40,2021-10-12T07:18:59Z,Insert,1.0,120.00,Buy,EEX
41,2021-10-12T07:19:38Z,Insert,1.0,120.00,Sell,EEX
42,2021-10-12T07:19:46.91Z,Update,1.0,120.00,Sell,Tradition
43,2021-10-12T07:19:46.91Z,Insert,1.0,120.01,Buy,Tradition
44,2021-10-12T07:19:51Z,Insert,1.0,120.00,Sell,EEX
45,2021-10-12T07:19:53.457Z,Update,1.0,120.00,Sell,Tradition
46,2021-10-12T07:23:22Z,Insert,1.0,120.00,Sell,EEX
47,2021-10-12T07:23:25Z,Insert,1.0,120.00,Sell,EEX
48,2021-10-12T07:33:36.78Z,Update,1.0,120.00,Sell,Tradition
49,2021-10-12T07:34:33.559Z,Update,2.0,120.25,Buy,Marex Spectron
50,2021-10-12T07:35:09Z,Insert,5.0,120.50,Sell,EEX
51,2021-10-12T07:38:02.418Z,Update,1.0,120.50,Buy,Marex Spectron
52,2021-10-12T07:38:02Z,Insert,1.0,120.50,Buy,EEX
53,2021-10-12T07:38:47.677Z,Update,1.0,120.50,Buy,Marex Spectron
54,2021-10-12T07:40:07Z,Insert,1.0,120.70,Sell,EEX
55,2021-10-12T07:43:07.789Z,Update,1.0,120.75,Sell,GFI
56,2021-10-12T07:43:13.245Z,Update,2.0,120.75,Sell,Tradition
57,2021-10-12T07:43:14.419Z,Update,1.0,120.75,Sell,GFI
58,2021-10-12T07:43:16.104Z,Update,1.0,120.75,Buy,GFI
59,2021-10-12T07:44:42.932Z,Update,1.0,121.00,Sell,Tradition
60,2021-10-12T07:44:44.265Z,Update,1.0,121.00,Buy,Marex Spectron
61,2021-10-12T07:45:15Z,Insert,1.0,120.75,Sell,EEX
62,2021-10-12T07:48:29.259Z,Update,1.0,121.00,Sell,Tradition
63,2021-10-12T07:48:41.374Z,Insert,1.0,121.00,Sell,Marex Spectron
64,2021-10-12T07:49:01.103Z,Update,1.0,120.50,Sell,Tradition
65,2021-10-12T07:50:56.577Z,Insert,1.0,121.00,Buy,Marex Spectron
66,2021-10-12T07:51:03.384Z,Insert,1.0,121.00,Buy,Marex Spectron
